image_path,label
train_dataset/img_0.png,"[('triangle', 'red'), ('square', 'green')]"
train_dataset/img_1.png,"[('triangle', 'green'), ('circle', 'blue')]"
train_dataset/img_2.png,"[('square', 'green'), ('triangle', 'green')]"
train_dataset/img_3.png,"[('circle', 'blue')]"
train_dataset/img_4.png,"[('circle', 'green')]"
train_dataset/img_5.png,"[('circle', 'green'), ('square', 'green')]"
train_dataset/img_6.png,"[('triangle', 'blue'), ('circle', 'green')]"
train_dataset/img_7.png,"[('square', 'green')]"
train_dataset/img_8.png,"[('square', 'red'), ('triangle', 'red'), ('triangle', 'green'), ('triangle', 'blue')]"
train_dataset/img_9.png,[]
train_dataset/img_10.png,"[('triangle', 'green'), ('circle', 'red')]"
train_dataset/img_11.png,[]
train_dataset/img_12.png,[]
train_dataset/img_13.png,"[('square', 'red')]"
train_dataset/img_14.png,[]
train_dataset/img_15.png,"[('triangle', 'green'), ('square', 'blue')]"
train_dataset/img_16.png,"[('square', 'red')]"
train_dataset/img_17.png,"[('square', 'red'), ('triangle', 'blue')]"
train_dataset/img_18.png,"[('square', 'red')]"
train_dataset/img_19.png,"[('triangle', 'blue'), ('circle', 'blue'), ('square', 'blue')]"
train_dataset/img_20.png,"[('triangle', 'green'), ('circle', 'green'), ('square', 'red')]"
train_dataset/img_21.png,"[('triangle', 'blue'), ('circle', 'red'), ('triangle', 'red'), ('circle', 'blue')]"
train_dataset/img_22.png,"[('circle', 'green'), ('triangle', 'blue')]"
train_dataset/img_23.png,"[('square', 'green'), ('square', 'red'), ('circle', 'red'), ('circle', 'green')]"
train_dataset/img_24.png,"[('triangle', 'blue'), ('circle', 'green'), ('triangle', 'red'), ('square', 'red')]"
train_dataset/img_25.png,"[('circle', 'red'), ('square', 'green')]"
train_dataset/img_26.png,"[('triangle', 'red'), ('circle', 'red'), ('circle', 'green')]"
train_dataset/img_27.png,"[('square', 'blue'), ('circle', 'green'), ('square', 'red')]"
train_dataset/img_28.png,"[('circle', 'red'), ('triangle', 'green'), ('square', 'blue'), ('square', 'red')]"
train_dataset/img_29.png,"[('triangle', 'blue')]"
train_dataset/img_30.png,[]
train_dataset/img_31.png,"[('circle', 'blue'), ('square', 'green'), ('circle', 'red'), ('square', 'red')]"
train_dataset/img_32.png,"[('triangle', 'red'), ('circle', 'green')]"
train_dataset/img_33.png,[]
